Age,Rating,Weather_conditions,Traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Preparation_Time,Delivery_Time
36.0,4.2,Fog,3,2,Snack,motorcycle,3.0,0,Metropolitian,46,10.280582064621875,15.0,31.0
21.0,4.7,Stormy,2,1,Meal,motorcycle,1.0,0,Metropolitian,23,6.242318682701243,10.0,13.0
23.0,4.7,Sandstorms,1,1,Drinks,scooter,1.0,0,Metropolitian,21,13.787860239172547,10.0,11.0
34.0,4.3,Sandstorms,0,0,Buffet,motorcycle,0.0,0,Metropolitian,20,2.9302578007621216,10.0,10.0
24.0,4.7,Fog,3,1,Snack,scooter,1.0,0,Metropolitian,41,19.39661829066159,15.0,26.0
29.0,4.5,Sandstorms,3,2,Buffet,electric_scooter,1.0,0,Metropolitian,20,13.763977224427641,10.0,10.0
35.0,4.0,Windy,2,1,Meal,scooter,1.0,0,Metropolitian,33,6.21800119018663,15.0,18.0
33.0,4.2,Sandstorms,3,2,Snack,motorcycle,1.0,0,Metropolitian,40,16.849939918016496,10.0,30.0
34.0,4.9,Cloudy,3,0,Snack,motorcycle,1.0,0,Metropolitian,41,10.75710880025813,10.0,31.0
21.0,4.7,Windy,3,0,Meal,motorcycle,1.0,0,Urban,15,4.5405743887312955,15.0,0.0
25.0,4.1,Sandstorms,3,0,Snack,motorcycle,2.0,0,Metropolitian,36,12.256076445468295,5.0,31.0
31.0,4.7,Sandstorms,0,2,Meal,electric_scooter,0.0,0,Metropolitian,26,19.618739348801018,15.0,11.0
37.0,5.0,Sandstorms,0,1,Snack,motorcycle,1.0,0,Metropolitian,20,1.5581322655568652,15.0,5.0
33.0,4.3,Windy,3,2,Meal,scooter,1.0,0,Metropolitian,39,20.180635114114715,15.0,24.0
25.0,4.0,Cloudy,2,1,Buffet,motorcycle,1.0,0,Metropolitian,34,6.116971669682334,5.0,29.0
29.0,4.5,Sunny,1,2,Meal,electric_scooter,1.0,0,Metropolitian,15,17.07559440107296,15.0,0.0
27.0,5.0,Stormy,3,0,Snack,motorcycle,0.0,0,Urban,18,4.470286489434607,5.0,13.0
35.0,4.3,Cloudy,0,1,Drinks,scooter,0.0,0,Metropolitian,38,13.68204452608078,10.0,28.0
32.0,4.0,Windy,3,0,Buffet,motorcycle,1.0,0,Metropolitian,47,13.973182653917394,15.0,32.0
23.0,4.8,Windy,0,2,Buffet,electric_scooter,0.0,0,Urban,12,16.85361872985359,10.0,2.0
31.0,4.8,Sandstorms,0,2,Drinks,motorcycle,1.0,0,Metropolitian,26,4.674172124263269,15.0,11.0
36.0,4.1,Stormy,0,0,Drinks,motorcycle,1.0,0,Urban,22,7.601616771071091,5.0,17.0
26.0,4.3,Sandstorms,0,0,Buffet,motorcycle,0.0,0,Urban,21,7.720324413179964,10.0,11.0
38.0,4.9,Cloudy,2,1,Drinks,scooter,1.0,0,Urban,25,6.175636261016932,5.0,20.0
32.0,3.5,Stormy,3,1,Snack,scooter,0.0,0,Urban,35,17.29786575291325,10.0,25.0
32.0,4.6,Cloudy,0,2,Drinks,scooter,1.0,0,Metropolitian,30,19.914686965545187,10.0,20.0
33.0,4.9,Sunny,1,1,Snack,motorcycle,1.0,0,Metropolitian,22,10.724517748046024,15.0,7.0
20.0,4.7,Windy,2,1,Snack,scooter,0.0,0,Urban,10,6.127835452844327,10.0,0.0
20.0,4.8,Sandstorms,0,2,Meal,scooter,1.0,0,Metropolitian,19,1.5203573134022046,10.0,9.0
35.0,5.0,Sunny,0,2,Snack,scooter,1.0,0,Urban,11,3.0734537599377685,10.0,1.0
26.0,4.9,Stormy,0,2,Buffet,scooter,0.0,0,Metropolitian,11,3.105131477545897,15.0,-4.0
22.0,4.8,Fog,0,1,Snack,motorcycle,1.0,0,Metropolitian,28,10.867426834480481,10.0,18.0
35.0,4.3,Cloudy,1,1,Snack,motorcycle,1.0,0,Metropolitian,33,10.865464603780389,5.0,28.0
37.0,4.7,Sandstorms,3,0,Snack,motorcycle,3.0,0,Metropolitian,52,13.682516298592297,5.0,47.0
28.0,4.6,Stormy,3,1,Snack,scooter,1.0,0,Metropolitian,22,16.826241648658115,15.0,7.0
37.0,4.9,Fog,0,1,Snack,scooter,1.0,0,Urban,16,3.0272369309754272,10.0,6.0
23.0,4.9,Sunny,3,2,Drinks,electric_scooter,0.0,0,Metropolitian,11,9.175193844437826,5.0,6.0
27.0,4.9,Windy,1,1,Drinks,scooter,1.0,0,Metropolitian,25,9.315069177421892,10.0,15.0
37.0,4.8,Cloudy,1,0,Drinks,motorcycle,1.0,0,Urban,26,6.209021101535612,10.0,16.0
33.0,5.0,Sunny,2,2,Snack,scooter,1.0,0,Metropolitian,18,1.5203447277401048,10.0,8.0
31.0,4.9,Fog,1,1,Snack,motorcycle,1.0,0,Metropolitian,16,6.037225392443855,5.0,11.0
31.0,4.8,Stormy,0,2,Drinks,scooter,1.0,0,Metropolitian,23,17.078665498349437,10.0,13.0
25.0,5.0,Cloudy,0,0,Snack,motorcycle,0.0,0,Metropolitian,15,4.717601092054723,15.0,0.0
28.0,4.8,Sandstorms,3,0,Drinks,motorcycle,1.0,0,Metropolitian,36,12.464329297636581,10.0,26.0
31.0,4.7,Cloudy,0,2,Snack,motorcycle,0.0,0,Metropolitian,16,9.121425981981247,15.0,1.0
24.0,4.7,Sunny,1,0,Buffet,motorcycle,0.0,0,Urban,19,14.023232083084483,10.0,9.0
39.0,4.6,Sunny,0,1,Snack,motorcycle,1.0,0,Metropolitian,27,13.392612276663236,10.0,17.0
39.0,4.2,Fog,3,2,Snack,scooter,1.0,0,Semi-Urban,49,12.58026782240096,15.0,34.0
32.0,4.5,Windy,0,2,Buffet,scooter,0.0,0,Metropolitian,20,1.4899271643865588,15.0,5.0
36.0,4.7,Cloudy,3,1,Snack,motorcycle,1.0,0,Metropolitian,30,9.435201537430713,5.0,25.0
25.0,4.8,Sandstorms,0,1,Drinks,scooter,0.0,0,Urban,18,11.916582838288104,10.0,8.0
33.0,4.9,Sunny,3,2,Drinks,scooter,0.0,0,Metropolitian,22,4.663566689152146,10.0,12.0
30.0,4.4,Cloudy,0,2,Drinks,scooter,1.0,0,Metropolitian,34,10.641157729337541,15.0,19.0
